,Name,Group,Cal,Carb,Protein,Fat,Serving
1,Buttermilk Biscuits,Baked Foods,104.38,14.0012,1.9992,4.5016,34
2,Cinnamon Rolls,Baked Foods,145.2,23.5048,1.9096,4.9588,44
3,English Muffins,Baked Foods,132.24,26.22,4.56,1.026,57
4,Waffles,Baked Foods,106.47,16.0095,2.5662,3.5958,39
5,Pie Crust,Baked Foods,142.284,18.2612,1.4484,7.05172,28.4
6,Dutch Apple Pie,Baked Foods,379.9,58.3474,2.8427,15.065,131
7,Crackers,Baked Foods,129.9,19.305,4.275,4.005,30
8,Bread White Wheat,Baked Foods,66.64,12.2948,2.9848,0.602,28
9,Bagels Wheat,Baked Foods,245,47.9122,9.996,1.4994,98
10,Cream Puff Eclair,Baked Foods,377.42,42.2959,4.9833,20.9276,113
11,Tortillas,Baked Foods,145.53,24.1423,3.9249,3.7142,49
12,Beef Jerky,Snacks,116.44,3.124,9.4288,7.2704,28.4
13,Corn Chips,Snacks,150.92,16.0356,1.7276,9.3408,28
14,Fruit Leather Pieces,Sweets,101.956,23.52088,0.284,0.76112,28.4
15,Honey-Combed With Peanut Butter,Sweets,473,67.41,8.72,20.18,100
16,Granola Bars,Snacks,144.272,15.1656,2.8968,8.8324,28.4
17,Popcorn,Snacks,64.13,4.9566,0.8019,4.7905,11
18,Popcorn Caramel-Coated,Snacks,113.6,22.9188,1.8176,2.2152,28.4
19,Potato Chips,Snacks,142.568,18.39184,1.29504,7.42376,28.4
20,Potato Chips Sour-Cream And Onion-Flavor,Snacks,155.348,14.5692,1.8744,10.508,28.4
21,Pretzels Salted,Snacks,109.056,22.83076,2.85136,0.83212,28.4
22,Pretzels Chocolate-Flavor,Snacks,129.788,20.1356,2.13,4.7428,28.4
23,Rice Cakes Brown Rice Sesame Seed,Snacks,35.28,7.335,0.684,0.342,9
24,Tortilla Chips Salted,Snacks,134.048,19.24952,2.0164,5.87312,28.4
25,Tortilla Chips Nacho Cheese,Snacks,147.396,17.27004,2.09024,7.78728,28.4
26,Tortilla Chips Ranch-Flavor,Snacks,142.284,17.81816,2.04196,6.99492,28.4
27,Trail Mix Regular,Snacks,693,67.35,20.7,44.1,150
28,Almond Joy Candy Bar,Sweets,234.71,29.1599,2.0237,13.1957,49
29,Twizzlers Cherry Bites,Sweets,135.2,31.752,1.188,0.68,40
30,Nestle Bit-O-Honey Candy Chews,Sweets,155.2,32.356,0.8,3,40
31,Nestle Butterfinger Bar,Sweets,275.4,43.74,3.24,11.34,60
32,Caramels Chocolate-Flavor Roll,Sweets,25.542,5.79018,0.10494,0.21846,6.6
33,Baking Chocolate Unsweetened,Sweets,134.048,10.2808,3.4364,13.5468,28.4
34,White Chocolate,Sweets,458.15,50.354,4.9895,27.2765,85
35,Ice Creams Vanilla,Sweets,136.8,22.3896,3.6328,3.6708,76
36,Sherbet Orange,Sweets,106.56,22.496,0.814,1.48,74
37,Fudge Peanut Butter,Sweets,61.92,12.44,0.6048,1.0544,16
38,Fudge Vanilla,Sweets,108.772,23.3306,0.2982,1.5478,28.4
39,Nestle Goobers Chocolate Covered Peanuts,Sweets,199.68,20.67,3.783,13.26,39
40,Nestle Baby Ruth Bar,Sweets,285,38.88,3.24,12.96,60
41,Twizzlers Strawberry Twists Candy,Sweets,156.6,35.622,1.152,1.044,45
42,Ice Creams Chocolate,Sweets,127.16,17.476,3.4,4.8892,68
43,Nestle Chunky Bar,Sweets,207.6,24.16,3,11,40
44,Milk Chocolate,Sweets,37.45,4.158,0.5355,2.0762,7
45,Banana Puddings,Sweets,154.35,29.0178,4.0572,2.499,147
46,Dinner Roll,Baked Foods,177.33,27.7656,3.8985,5.658,69
47,Chocolate Vanilla Creme Cookies ,Baked Foods,208.56,33.4532,0.9636,7.8716,44
48,Goldfish Snack Crackers,Baked Foods,24.284,3.42212,0.48984,0.95784,5.2
49,Pancakes,Baked Foods,103.2,19.3536,1.5888,2.184,48
50,Seaweed,Vegetables,12.95,2.312,0.767,0.0695,5
51,Potatoes Hash Brown,Vegetables,314.6,44.187,4.212,13.39,130
52,Sweet Potatoes Fries,Vegetables,92.82,18.1458,1.1016,4.5492,51
53,Canned Salmon,American Indian,150,0,23.2,5.9,100
54,Mutton Cooked Roasted,American Indian,66.456,0.02272,9.49412,3.14956,28.4
55,Stew Steamed Corn,American Indian,112,10.8,8.82,3.75,100
56,Salmon Fish,American Indian,140,0,22.56,5.57,100
57,Blueberries,American Indian,61,12.31,1.22,0.76,100
58,Taco,Restaurant Foods,741.96,62.4672,42.7356,35.802,324
59,Grilled Sirloin Steak,Restaurant Foods,306.53,0,47.5952,12.8652,151
60,Macaroni N Cheese,Restaurant Foods,493.44,40.0406,16.6022,29.5807,257
61,French Fries,Restaurant Foods,465.3,58.08,5.6265,23.3145,165
62,Lemon Chicken,Restaurant Foods,1569.96,128.4003,73.9501,84.4165,623
63,Kung Pao Chicken,Restaurant Foods,779.16,41.4948,58.9504,42.1592,604
64,Italian Spaghetti With Meat Sauce,Restaurant Foods,670.34,90.856,32.0766,19.8886,554
65,Pork Sausage,Meats,183.15,1.062,6.165,16.9335,45
66,Cheese Cottage,Dairy and Egg Products,83.62,3.616,14.012,1.13,113
67,Breakfast Bar,Snacks,106.784,20.6752,1.2496,2.13,28.4
